system:index,date,total_evaporation_m,.geo
20000721,2000-07-21,-0.0027373281547638188,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000722,2000-07-22,-0.0027040857088696333,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000723,2000-07-23,-0.0028105623881586844,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000724,2000-07-24,-0.0028778302064898305,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000725,2000-07-25,-0.002851138015533487,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000726,2000-07-26,-0.0027434026263186487,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000727,2000-07-27,-0.0028493292658902446,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000728,2000-07-28,-0.0027994681550856794,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000729,2000-07-29,-0.002837266124021918,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000730,2000-07-30,-0.0027828085960001103,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000731,2000-07-31,-0.0026458275897006983,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000801,2000-08-01,-0.0025481643129124858,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000802,2000-08-02,-0.002722941099374812,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000803,2000-08-03,-0.0028842904215873747,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000804,2000-08-04,-0.003022444257875931,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000805,2000-08-05,-0.0031071292276505444,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000806,2000-08-06,-0.003042910894622858,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000807,2000-08-07,-0.0028907072771573276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000808,2000-08-08,-0.0027882476475222973,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000809,2000-08-09,-0.0025277732321152043,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000810,2000-08-10,-0.0023944435521588915,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000811,2000-08-11,-0.0025171668081189432,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000812,2000-08-12,-0.002652882806685267,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000813,2000-08-13,-0.002753394181431499,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000814,2000-08-14,-0.002764830621100581,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000815,2000-08-15,-0.002621154102959275,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000816,2000-08-16,-0.002668855280891692,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000817,2000-08-17,-0.002746880953778882,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000818,2000-08-18,-0.002559263989432817,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000819,2000-08-19,-0.0025799091145004634,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000820,2000-08-20,-0.0025665841808497378,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000821,2000-08-21,-0.0025055412829185935,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000822,2000-08-22,-0.0026378928110870207,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000823,2000-08-23,-0.0027523821535064418,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000824,2000-08-24,-0.002857709803059294,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000825,2000-08-25,-0.0028947173534893877,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000826,2000-08-26,-0.002789609065263787,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000827,2000-08-27,-0.0026704348395343944,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000828,2000-08-28,-0.00248328285938272,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000829,2000-08-29,-0.0024008500466991276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000830,2000-08-30,-0.0024153640934300325,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000831,2000-08-31,-0.0024136619661814683,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000901,2000-09-01,-0.0025107317379262617,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000902,2000-09-02,-0.0025237168481243182,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000903,2000-09-03,-0.0024525080105677554,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000904,2000-09-04,-0.0024454038273555405,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000905,2000-09-05,-0.0024050624966333554,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000906,2000-09-06,-0.002323595914770846,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000907,2000-09-07,-0.002278503653946285,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000908,2000-09-08,-0.0024062541852570814,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000909,2000-09-09,-0.0023806014861231695,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000910,2000-09-10,-0.002519900924180144,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000911,2000-09-11,-0.00262851431162676,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000912,2000-09-12,-0.0026958184718626835,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000913,2000-09-13,-0.0027130865915529867,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000914,2000-09-14,-0.00255624385837919,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000915,2000-09-15,-0.0023947432784813785,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000916,2000-09-16,-0.0023844767104173113,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000917,2000-09-17,-0.002356795243730632,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000918,2000-09-18,-0.0022727766290124964,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000919,2000-09-19,-0.0023684905273895977,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000920,2000-09-20,-0.0023657687613487764,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000921,2000-09-21,-0.0023388949751460375,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000922,2000-09-22,-0.002377305577265482,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000923,2000-09-23,-0.002331897174568201,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000924,2000-09-24,-0.0023602505938159347,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000925,2000-09-25,-0.002418343197400209,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000926,2000-09-26,-0.002482129476567074,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000927,2000-09-27,-0.002495688018669496,"{""type"":""MultiPoint"",""coordinates"":[]}"
20000928,2000-09-28,-0.00248011943356196,"{""type"":""MultiPoint"",""coordinates"":[]}"
