system:index,country,country_code,deaths,displaced_people,event_id,gfd_country_name,glide_index,latitude,longitude,main_cause,other_country,primary_country,severity,validation_type,.geo
DFO_3966_From_20120816_to_20120820,India,['IN'],1.0,210.0,3966.0,['INDIA'],,20.985523,82.796221,Monsoonal Rain,,India,1.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3974_From_20120823_to_20120829,"China, India, Pakistan, Afghanistan","['IN', 'CH', 'UU', 'AF', 'PK', 'NP']",26.0,1200.0,3974.0,"['INDIA', 'CHINA', 'In dispute CHINA/INDIA', 'AFGHANISTAN', 'PAKISTAN', 'NEPAL']",FF-2012-000148-PAK,35.030504,73.522165,Monsoonal Rain,,Pakistan,1.5,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3983_From_20120916_to_20120918,"China, India, Pakistan, Nepal, Bangladesh","['BG', 'IN', 'CH', 'PK', 'UU', 'NP']",45.0,200.0,3983.0,"['BANGLADESH', 'INDIA', 'CHINA', 'PAKISTAN', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",,31.306274,76.85692,Torrential Rain,,India,2.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_3984_From_20120910_to_20121029,"India, Pakistan","['IN', 'PK']",400.0,742000.0,3984.0,"['INDIA', 'PAKISTAN']",,28.044522,68.775576,Monsoonal Rain,,Pakistan,1.5,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_4001_From_20121104_to_20121108,India,['IN'],40.0,70000.0,4001.0,['INDIA'],,11.828347,78.804243,Tropical Storm Nilam,,India,2.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_4078_From_20130801_to_20130807,"China, India, Pakistan, Afghanistan, Uzbekistan, Kyrgyzstan, Tajikistan, Nepal, Turkmenistan","['IN', 'CH', 'KG', 'TI', 'AF', 'PK', 'UU', 'NP', 'UZ', 'IR', 'TX']",135.0,81000.0,4078.0,"['INDIA', 'CHINA', 'KYRGYZSTAN', 'TAJIKISTAN', 'AFGHANISTAN', 'PAKISTAN', 'In dispute CHINA/INDIA', 'NEPAL', 'UZBEKISTAN', 'IRAN', 'TURKMENISTAN']",,32.814392,70.637704,Heavy Rain,Afghanistan,Pakistan,1.5,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_4082_From_20130807_to_20130821,"China, India, Pakistan, Afghanistan, Iran, Nepal","['IN', 'CH', 'AF', 'PK', 'UU', 'NP', 'IR']",70.0,12000.0,4082.0,"['INDIA', 'CHINA', 'AFGHANISTAN', 'PAKISTAN', 'In dispute CHINA/INDIA', 'NEPAL', 'IRAN']",,28.740393,69.106502,"Monsoon Rain, began with #4078",,Pakistan,1.5,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_4098_From_20131012_to_20131110,"China, India, Nepal, Bangladesh","['BG', 'IN', 'CH', 'UU', 'NP']",7.0,0.0,4098.0,"['BANGLADESH', 'INDIA', 'CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",,24.717423,85.932081,Heavy Rain,,India,1.5,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_4154_From_20140623_to_20140625,"China, India, Bangladesh","['BM', 'BG', 'IN', 'CH', 'BT', 'UU', 'NP']",0.0,10000.0,4154.0,"['BURMA', 'BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'NEPAL']",,27.811455,94.716023,Monsoonal Ran,,India,1.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_4171_From_20140811_to_20140908,"China, India, Nepal, Bangladesh","['BG', 'IN', 'CH', 'UU', 'NP']",31.0,4000.0,4171.0,"['BANGLADESH', 'INDIA', 'CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",,27.385201,79.758579,Monsoonal Rain,,India,1.5,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_4174_From_20140814_to_20140908,"China, India, Nepal, Bangladesh","['BG', 'IN', 'CH', 'UU', 'NP']",0.0,10000.0,4174.0,"['BANGLADESH', 'INDIA', 'CHINA', 'In dispute CHINA/INDIA', 'NEPAL', 'In dispute INDIA/NEPAL']",,26.179465,86.253746,Monsoonal Rain,,India,1.5,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
DFO_4176_From_20140815_to_20140908,"China, India, Bangladesh, Bhutan","['BM', 'BG', 'IN', 'CH', 'BT', 'UU', 'NP']",1.0,75000.0,4176.0,"['BURMA', 'BANGLADESH', 'INDIA', 'CHINA', 'BHUTAN', 'In dispute BHUTAN/CHINA', 'NEPAL']",,27.613202,94.654164,Monsoonal Rain,,India,1.0,News,"{""type"":""MultiPoint"",""coordinates"":[]}"
